mp_id,formula,v_ref_mp,v_pred,abs_err,signed_err,nsites,reason
mp-761042,Na0-1Cu(PO3)3,4.7316,4.9045,0.1729,0.1729,56,
mp-560936,Na0-1Rb2CrF6,4.4984,3.9475,0.5509,-0.5509,10,
mp-1101719,Na0-1Cr3O8,4.3377,4.3484,0.0107,0.0107,24,
mp-759675,Na0-1Co2P3O10,4.3028,4.2428,0.06,-0.06,32,
mp-1111951,Na0-1Cs2NiF6,4.2278,3.4898,0.738,-0.738,10,
mp-1173562,Na0-1V3Fe2CuO12,4.1686,3.3699,0.7987,-0.7987,38,
mp-1094113,Na0-1V2P2O9,4.1495,3.7615,0.388,-0.388,56,
mp-772859,Na0-2Ti3Fe(PO4)6,4.1377,4.272,0.1343,0.1343,36,
mp-768598,Na1-2NiCSO7,4.1219,4.4321,0.3102,0.3102,48,
mp-1101707,Na1.5-2.5NiPCO7,4.1128,4.9451,0.8323,0.8323,50,
mp-505102,Na0-1Mo3P3O16,4.0992,3.9547,0.1445,-0.1445,46,
mp-622295,Na0-1Mo(PO4)2,4.0902,4.269,0.1788,0.1788,48,
mp-6467,Na1-2CuP2O7,4.084,4.8064,0.7224,0.7224,24,
mp-770968,Na1.5-3NiPCO7,4.0586,4.9081,0.8495,0.8495,52,
mp-560368,Na0-6Cu9(PO4)8,4.0168,3.9338,0.083,-0.083,55,
mp-560671,Na0-1Rb2VF6,4.0058,3.4109,0.5949,-0.5949,10,
mp-562796,Na0-1CoPO4,3.961,3.727,0.234,-0.234,28,
mp-760044,Na0-1LiMnPCO7,3.9609,3.9579,0.003,-0.003,24,
mp-559036,Na0-1Mo2P3O13,3.9112,4.0856,0.1744,0.1744,76,
mp-557638,Na0-1Mo2P3O13,3.8776,4.0767,0.1991,0.1991,38,
mp-1176395,Na1-2MnPCO7,3.8775,4.3469,0.4694,0.4694,48,
mp-19482,Na1-2V(PO4)2,3.8704,4.7549,0.8845,0.8845,52,
mp-771204,Na2-3FeSiCO7,3.8681,4.7565,0.8884,0.8884,26,
mp-774778,Na1.5-2.5NiPCO7,3.8646,4.9224,1.0578,1.0578,50,
mp-770940,Na2-3NiAsCO7,3.8567,4.5854,0.7287,0.7287,52,
mp-1079339,Na0-1K2MnF6,3.855,5.0409,1.1859,1.1859,10,
mp-772117,Na1-2CoCSO7,3.8328,4.114,0.2812,0.2812,48,
mp-1176383,Na0-1.5V12O29,3.7714,3.711,0.0604,-0.0604,85,
mp-558050,Na0-1Rb2MnF6,3.766,3.8306,0.0646,0.0646,10,
mp-683773,Na0-1CoPO4,3.7625,3.9209,0.1584,0.1584,168,
mp-773177,Na1-3CoAsCO7,3.7624,4.4832,0.7208,0.7208,52,
mp-16381,Na0-1Mn6P7O24,3.7472,3.5379,0.2093,-0.2093,76,
mp-770525,Na4-6Mn2C4SO16,3.7377,4.5206,0.7829,0.7829,58,
mp-1012678,Na0-1Mo3P3O13,3.7117,3.4483,0.2634,-0.2634,40,
mp-558049,Na1-2V3P2O13,3.6937,4.1123,0.4186,0.4186,80,
mp-1210501,Na0-0.67MnPO4,3.673,4.0828,0.4098,0.4098,40,
mp-1221323,Na0-3Mo4P5O24,3.6166,3.8969,0.2803,0.2803,72,
