mp_id,formula,family,v_pred,v_ref,signed_err,bias_used_for_correction,v_pred_corrected,residual_signed_error,in_heldout_set
mp-761042,Na0-1Cu(PO3)3,polyanionic_phosphate,4.9045,4.7316,0.1729,0.547702,4.356798,-0.374802,True
mp-560936,Na0-1Rb2CrF6,other,3.9475,4.4984,-0.5509,0.209653,3.737847,-0.760553,True
mp-1101719,Na0-1Cr3O8,layered_oxide,4.3484,4.3377,0.0107,,,,False
mp-759675,Na0-1Co2P3O10,polyanionic_phosphate,4.2428,4.3028,-0.06,0.547702,3.695098,-0.607702,True
mp-1111951,Na0-1Cs2NiF6,other,3.4898,4.2278,-0.738,0.209653,3.280147,-0.947653,True
mp-1173562,Na0-1V3Fe2CuO12,layered_oxide,3.3699,4.1686,-0.7987,,,,False
mp-1094113,Na0-1V2P2O9,polyanionic_phosphate,3.7615,4.1495,-0.388,0.547702,3.213798,-0.935702,True
mp-772859,Na0-2Ti3Fe(PO4)6,polyanionic_phosphate,4.272,4.1377,0.1343,0.547702,3.724298,-0.413402,True
mp-768598,Na1-2NiCSO7,other,4.4321,4.1219,0.3102,0.209653,4.222447,0.100547,True
mp-1101707,Na1.5-2.5NiPCO7,other,4.9451,4.1128,0.8323,0.209653,4.735447,0.622647,True
mp-505102,Na0-1Mo3P3O16,polyanionic_phosphate,3.9547,4.0992,-0.1445,0.547702,3.406998,-0.692202,True
mp-622295,Na0-1Mo(PO4)2,polyanionic_phosphate,4.269,4.0902,0.1788,0.547702,3.721298,-0.368902,True
mp-6467,Na1-2CuP2O7,polyanionic_phosphate,4.8064,4.084,0.7224,0.547702,4.258698,0.174698,True
mp-770968,Na1.5-3NiPCO7,other,4.9081,4.0586,0.8495,0.209653,4.698447,0.639847,True
mp-560368,Na0-6Cu9(PO4)8,polyanionic_phosphate,3.9338,4.0168,-0.083,0.547702,3.386098,-0.630702,True
mp-560671,Na0-1Rb2VF6,other,3.4109,4.0058,-0.5949,0.209653,3.201247,-0.804553,True
mp-562796,Na0-1CoPO4,polyanionic_phosphate,3.727,3.961,-0.234,0.547702,3.179298,-0.781702,True
